# Claude skills manifest — 2026-07-27 (morpheus)
# bespoke = tracked in dotfiles; others re-install via find-skills / marketplace

name                             version  source
caveman                          —      bespoke
caveman-commit                   —      bespoke
color-expert                     —      https://github.com/meodai/skill.color-expert
dotfiles                         —      bespoke
find-skills                      —      bespoke
flutter-verify-loop              —      bespoke
grilling                         —      bespoke
grill-me                         —      bespoke
html-report                      —      bespoke
impeccable                       3.8.0    marketplace/find-skills
last30days                       3.8.3    https://github.com/mvanhorn/last30days-skill
vercel-composition-patterns      —      Vercel Engineering
vercel-optimize                  —      Vercel Engineering
vercel-react-best-practices      —      Vercel Engineering
vercel-react-native-skills       —      Vercel Engineering
vercel-react-view-transitions    —      Vercel Engineering
writing-skills                   —      bespoke
